ca_pcgr,ca_ipm,ca_macc,ca_psm,ca_eo,ca_rh,ca_rmi,ca_re,ca_cim,ca_psncc,ca_pa,ca_arat,ca_ipda,ca_mp,ca_ipgm,ca_pe,id
0.4,0.25,0.75,0.2231875,0.6666667,1.0,0.3333333,0.6,0.0,1.0,0.0,1.0,0.6666667,0.2,1.0,0.608595,45
0.0,0.25,0.25,0.44,0.6666667,0.25,0.3333333,0.2,1.0,0.0,0.0,1.0,1.0,0.0,,0.671495,46
0.0,0.125,0.25,0.6875,0.6666667,0.25,0.3333333,0.8,0.0,0.0,0.0,0.5,1.0,0.0,,0.69934,47
0.0,0.5,0.0,0.628125,0.3333333,0.0,0.3333333,0.8,0.0,0.0,0.5,1.0,1.0,0.2,1.0,0.694049,48
0.0,0.375,0.0,0.26875,0.3333333,0.25,0.3333333,0.6,0.0,0.0,1.0,1.0,1.0,0.2,0.0,0.649493,49
0.6,0.5,0.0,0.44,0.6666667,0.0,0.5,0.6,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.535644,50
1.0,0.375,0.75,0.394375,0.6666667,0.5,0.3333333,0.4,0.0,0.0,0.0,1.0,1.0,0.2,,0.681433,51
0.0,0.375,0.25,0.24625,0.6666667,0.25,0.3333333,0.2,0.0,0.0,0.0,1.0,1.0,0.0,,0.646369,52
1.0,0.375,0.5,0.38375,0.6666667,0.5,0.5,0.4,0.0,0.0,0.0,1.0,1.0,0.2,1.0,0.655278,53
0.4,0.125,0.25,0.4025,0.3333333,0.0,0.5,0.4,0.0,1.0,0.0,1.0,0.0,0.8,,0.594016,54
0.0,0.25,0.25,0.25875,0.3333333,0.0,0.3333333,0.2,0.0,1.0,0.0,1.0,1.0,0.0,,0.601754,55
0.4,0.25,0.25,0.549375,0.5,0.3333333,0.6666667,0.4,0.0,1.0,0.5,1.0,1.0,0.0,,0.633011,56
0.8,0.125,0.5,0.545625,0.0,0.0,0.5,0.6,0.0,0.0,0.0,1.0,1.0,0.0,,0.628129,57
0.4,0.375,0.0,0.249375,0.6666667,0.5,0.8333333,0.6,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.52148,58
0.2,0.0,0.25,0.3325,0.6666667,0.25,0.6666667,0.4,0.0,1.0,0.5,1.0,1.0,0.6,0.6774194,0.62359,59
0.0,0.25,0.0,0.1625,0.1666667,0.0,0.3333333,0.6,0.0,1.0,0.0,1.0,1.0,0.0,,0.681646,60
0.2,0.25,0.5,0.45875,0.3333333,0.3333333,0.3333333,1.0,0.0,0.0,0.0,1.0,1.0,0.2,,0.665354,61
0.0,0.0,0.0,0.22625,0.6666667,0.25,0.5,0.8,0.0,0.0,0.0,1.0,0.3333333,0.0,,0.706505,62
0.0,0.0,0.0,0.303125,0.3333333,0.25,0.5,0.4,1.0,0.0,0.0,1.0,1.0,0.2,,0.551949,63
0.2,0.25,0.0,0.4725,0.6666667,0.5,0.8333333,0.6,0.0,0.0,0.0,1.0,1.0,0.4,,0.655024,64
0.6,0.5,0.75,0.38625,0.6666667,0.5,0.6666667,0.6,0.0,1.0,0.0,1.0,1.0,0.8,,0.592779,65
0.2,0.375,0.5,0.34,0.6666667,0.25,0.5,0.2,0.0,0.0,0.0,1.0,1.0,0.0,,0.697261,66
0.4,0.625,0.0,0.459375,0.3333333,0.5,0.6666667,1.0,0.0,0.0,0.0,1.0,1.0,0.8,0.5445545,0.633353,67
0.0,0.125,0.25,0.395625,0.6666667,0.25,0.3333333,0.2,0.0,0.0,0.0,1.0,1.0,0.2,1.0,0.622152,68
0.2,0.375,0.25,0.2025,0.6666667,0.75,0.8333333,1.0,0.0,1.0,1.0,1.0,0.3333333,0.0,,0.544089,69
0.6,0.5,0.0,0.3131875,1.0,0.5,0.8333333,0.8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.625627,70
0.4,0.25,0.0,0.37,0.3333333,0.25,0.5,0.6,1.0,0.0,0.0,1.0,1.0,0.8,0.775,0.585894,71
0.2,0.0,0.25,0.5375,0.6666667,1.0,0.6666667,1.0,1.0,0.0,1.0,1.0,1.0,0.2,1.0,0.649138,72
1.0,0.5,0.5,0.195625,0.3333333,0.25,0.5,0.8,1.0,1.0,0.0,1.0,1.0,0.2,0.0,0.728767,73
0.6,0.25,0.25,0.5,0.6666667,0.25,0.6666667,0.6,1.0,0.0,0.0,1.0,1.0,0.0,,0.69008,74
0.4,0.125,0.5,0.35625,0.3333333,0.25,0.5,0.4,0.0,0.0,0.0,1.0,0.6666667,0.2,,0.670615,75
0.0,0.25,0.5,0.398125,0.3333333,0.5,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.8,1.0,0.624715,76
0.2,0.5,0.0,0.31875,0.3333333,0.0,0.5,0.4,0.0,0.0,0.5,0.0,0.0,0.0,,0.67729,77
