antiguedad,elevacion,escasez,falla_in,Falta_in,falta_dren,health,ingreso,ponding,CM,PRECIP,id,dens_pop
18,0.2,0.0625,0.131,0.0439,0.018,1.67875,0.5777,6.1775,0.0,819,62,0.04922
9,0.2,0.0625,0.032,0.0015,0.086,1.705,0.52807,2.81625,0.0,812,63,0.03988
18,0.2,0.0625,0.131,0.0123,1.0,3.05,0.50315,1.2375,0.0,834,64,0.06465
9,0.2,0.0625,0.028,0.0657,1.0,3.13375,0.47009,0.33,0.0,829,65,0.07397
9,0.3,1.0,0.025,0.1064,1.0,0.0925,0.2971,19.1,0.0,831,66,0.0529
9,0.5,1.0,0.028,0.0084,0.086,2.815,0.5903,1.5975,0.0,887,67,0.06642
9,0.5,0.0625,0.03,0.0121,0.079,4.6225,0.5993,1.02875,0.0,901,68,0.0772
9,0.4,1.0,0.03,0.0155,1.0,1.07875,0.5967,0.6675,0.0,876,69,0.04851
9,0.3,1.0,0.029,0.0462,1.0,2.52625,0.56228,1.69125,0.0,820,70,0.04468
9,0.3,0.0625,0.028,0.0612,1.0,2.77625,0.50213,3.65625,0.0,837,71,0.05762
9,0.4,0.0625,0.029,0.0605,1.0,3.84625,0.47117,2.08,0.0,842,72,0.05526
9,0.4,0.0625,0.027,0.0085,0.301,0.925,0.44889,6.56125,0.0,854,73,0.03846
9,0.4,0.0625,0.031,0.0186,0.112,0.78375,0.42579,2.6075,0.0,870,74,0.05806
14,0.0,0.0625,0.097,0.0125,1.0,0.34125,0.55213,0.81875,0.056206,743,75,0.10842
14,0.0,0.0625,0.09,0.0175,0.018,0.3025,0.59432,0.90875,0.044045,745,76,0.10589
64,0.1,0.0625,0.539,0.0094,0.074,0.20125,0.2971,1.04875,0.0,815,77,0.21456
64,0.0,0.0625,0.54,0.0205,0.077,0.8325,0.2971,0.825,0.0,806,78,0.16846
64,0.1,0.0625,0.539,0.0174,0.074,0.31875,0.2971,0.455,0.0,828,79,0.17953
33,0.1,0.0625,0.269,0.0246,0.074,0.46,0.2971,1.70625,0.0,821,80,0.30837
64,0.0,1.0,0.539,0.0297,0.074,1.0925,0.2971,1.12625,0.0,810,81,0.38748
64,0.0,0.0625,0.539,0.0161,0.074,1.6875,0.2971,1.515,0.0,802,82,0.43569
33,0.1,0.0625,0.267,0.0655,0.018,0.24875,0.2971,1.30125,0.0,832,83,0.45945
33,0.1,1.0,0.268,0.0099,0.018,0.355,0.2971,2.67125,0.0,828,84,0.34529
33,0.1,1.0,0.269,0.0254,1.0,0.14875,0.7505,3.15375,0.0,824,85,0.55021
33,0.1,1.0,0.269,0.0219,0.074,1.19625,0.67558,0.195,0.0,815,86,0.21146
64,0.0,1.0,0.54,0.0113,0.075,4.00125,0.83424,1.84,0.0,810,87,0.21856
33,0.1,1.0,0.266,0.02,0.018,0.45375,0.74315,2.37875,0.0,842,88,0.42846
33,0.1,0.0625,0.266,0.0236,1.0,0.26125,0.71297,0.3975,0.0,851,89,0.50249
64,0.2,0.0625,0.537,0.0171,0.018,0.44875,0.73725,12.335,0.0,848,90,0.49494
33,0.1,0.0625,0.267,0.0149,1.0,0.07875,0.78183,17.46875,0.0,837,91,0.28284
33,0.1,0.0625,0.268,0.0211,1.0,0.08375,0.75835,13.7775,0.0,830,92,0.34102
64,0.1,0.0625,0.538,0.0125,1.0,0.06125,0.85608,1.7625,0.0,836,93,0.32497
64,0.1,0.0625,0.539,0.0181,1.0,0.06875,0.87209,1.125,0.0,833,94,0.4131
64,0.1,0.0625,0.539,0.0034,0.074,0.05875,0.85743,17.82625,0.0,831,95,0.42218
33,0.1,0.0625,0.268,0.0508,0.018,0.11125,0.78394,0.86625,0.0,827,96,0.23963
33,0.1,0.0625,0.267,0.0309,0.018,0.79125,0.73468,0.38625,0.0,833,97,0.4949
64,0.2,0.0625,0.538,0.0351,1.0,0.08,0.83856,0.16375,0.0,838,98,0.36941
64,0.1,0.0625,0.539,0.059,1.0,0.0525,0.86399,1.425,0.0,835,99,0.21119
64,0.1,0.0625,0.538,0.0021,0.074,0.05,0.83919,2.57625,0.0,832,100,0.26739
18,0.2,0.0625,0.134,0.0023,1.0,0.0175,0.80993,1.62375,0.0,906,101,0.02488
18,0.2,0.0625,0.133,0.0292,1.0,0.3,0.74281,1.86,0.0,896,102,0.26201
18,0.2,0.0625,0.131,0.0189,0.074,0.34375,0.75948,1.26125,0.0,913,103,0.24196
18,0.2,0.0625,0.132,0.0091,1.0,0.54375,0.68559,0.6875,0.0,898,104,0.56694
18,0.2,0.0625,0.134,0.0271,1.0,0.73875,0.69859,0.69625,0.0,889,105,0.50728
18,0.2,0.0625,0.133,0.0036,1.0,0.43625,0.72405,1.325,0.0,882,106,0.5776
18,0.1,0.0625,0.133,0.1084,0.074,0.3375,0.67476,0.0925,0.0,878,107,0.66978
18,0.1,0.0625,0.131,0.0263,0.074,0.36,0.69513,0.2675,0.0,873,108,0.59947
18,0.1,0.0625,0.132,0.0166,0.074,0.255,0.61877,0.3275,0.0,855,109,0.72952
18,0.1,0.0625,0.133,0.1987,1.0,0.35375,0.65243,2.23875,0.0,850,110,0.75174
33,0.1,1.0,0.27,0.1455,0.074,0.33625,0.86865,0.5525,0.0,824,111,0.26497
33,0.0,0.0625,0.272,0.3552,0.074,1.78875,0.6972,2.04125,0.00371,822,112,0.16921
18,0.1,0.0625,0.134,0.0093,0.074,0.4525,0.61981,8.82875,0.0,885,113,0.48446
18,0.2,0.0625,0.132,0.0088,1.0,0.42125,0.77242,9.45,0.0,887,114,0.30135
33,0.1,0.0625,0.269,0.0081,0.018,0.8775,0.68225,9.4275,0.0,837,115,0.81838
33,0.1,0.0625,0.269,0.0282,0.018,0.3775,0.74541,16.18625,0.0,849,116,0.53107
33,0.1,0.0625,0.27,0.1892,0.074,0.45875,0.73766,6.58125,0.0,837,117,0.45801
33,0.1,0.0625,0.271,0.0195,0.074,0.24625,0.71546,12.81375,0.002064,832,118,0.74226
64,0.1,0.0625,0.542,0.0147,0.018,0.3325,0.81784,15.62,0.002873,821,119,0.27022
64,0.0,0.0625,0.541,0.0183,0.018,0.27,0.82817,15.8625,0.001367,817,120,0.24025
33,0.2,0.0625,0.267,0.0378,1.0,0.5775,0.73541,0.125,0.0,897,121,0.39994
18,0.3,0.0625,0.133,0.0517,0.074,0.44,0.7804,0.2525,0.0,889,122,0.26718
33,0.2,1.0,0.269,0.0059,0.074,0.25875,0.90066,0.4975,0.0,877,123,0.21381
64,0.1,1.0,0.539,0.0101,0.075,0.87,0.72928,0.38625,0.0,864,124,0.47819
33,0.1,0.0625,0.268,0.026,0.018,0.735,0.74219,0.15,0.0,861,125,0.35336
64,0.1,0.0625,0.54,0.0201,1.0,0.3925,0.71887,1.74375,0.000112,843,126,0.45928
64,0.1,1.0,0.541,0.245,0.074,0.2875,0.77629,0.8325,0.001227,829,127,0.33353
33,0.1,1.0,0.269,0.0388,0.074,0.2325,0.83298,2.22,0.0,832,128,0.26722
64,0.1,1.0,0.54,0.0323,0.074,0.3375,0.82707,2.71625,0.0,823,129,0.29291
33,0.1,0.0625,0.269,0.0052,0.018,0.38875,0.82692,0.86625,0.0,822,130,0.3824
64,0.0,0.0625,0.54,0.0423,0.074,0.3175,0.94217,0.69625,0.0,818,131,0.38612
